unit,unitLabel,quant,quantLabel
http://qudt.org/vocab/unit/BBL_US_DRY,Dry Barrel (US),http://qudt.org/vocab/quantitykind/DryVolume,Dry Volume
http://qudt.org/vocab/unit/BBL_US_PET-PER-HR,Barrel (US Petroleum) Per Hour,http://qudt.org/vocab/quantitykind/VolumeFlowRate,Volume Flow Rate
http://qudt.org/vocab/unit/BBL_US_PET-PER-SEC,Barrel (US Petroleum) Per Second,http://qudt.org/vocab/quantitykind/VolumeFlowRate,Volume Flow Rate
http://qudt.org/vocab/unit/BDT,Bangladeshi Taka,http://qudt.org/vocab/quantitykind/Currency,Currency
http://qudt.org/vocab/unit/BEAT-PER-MIN,Heart Beats per Minute,http://qudt.org/vocab/quantitykind/HeartRate,Heart Rate
http://qudt.org/vocab/unit/BFT,Beaufort,http://qudt.org/vocab/quantitykind/Speed,Speed
http://qudt.org/vocab/unit/BHD,Bahraini Dinar,http://qudt.org/vocab/quantitykind/Currency,Currency
http://qudt.org/vocab/unit/BIT,Bit,http://qudt.org/vocab/quantitykind/InformationEntropy,Information Entropy
http://qudt.org/vocab/unit/BIT-PER-SEC,Bit per Second,http://qudt.org/vocab/quantitykind/DataRate,Data Rate
http://qudt.org/vocab/unit/BQ,Becquerel,http://qudt.org/vocab/quantitykind/Activity,Activity
http://qudt.org/vocab/unit/BQ-PER-KiloGM,Becquerel per Kilogram,http://qudt.org/vocab/quantitykind/MassicActivity,Massic Activity
http://qudt.org/vocab/unit/BQ-PER-KiloGM,Becquerel per Kilogram,http://qudt.org/vocab/quantitykind/SpecificActivity,Specific Activity
http://qudt.org/vocab/unit/BQ-PER-L,Becquerels per litre,http://qudt.org/vocab/quantitykind/ActivityConcentration,Activity Concentration
http://qudt.org/vocab/unit/BQ-PER-M2,Becquerel per Square Metre,http://qudt.org/vocab/quantitykind/SurfaceActivityDensity,Surface Activity Density
http://qudt.org/vocab/unit/BQ-PER-M3,Becquerel per Cubic Metre,http://qudt.org/vocab/quantitykind/ActivityConcentration,Activity Concentration
http://qudt.org/vocab/unit/BQ-SEC-PER-M3,Becquerels second per cubic metre,http://qudt.org/vocab/quantitykind/AbsoluteActivity,Absolute Activity
http://qudt.org/vocab/unit/BREATH-PER-MIN,Breath per Minute,http://qudt.org/vocab/quantitykind/RespiratoryRate,Respiratory Rate
http://qudt.org/vocab/unit/BSD,Bahamian Dollar,http://qudt.org/vocab/quantitykind/Currency,Currency
http://qudt.org/vocab/unit/BTU_IT,British Thermal Unit (International Definition),http://qudt.org/vocab/quantitykind/Energy,Energy
http://qudt.org/vocab/unit/BTU_IT,British Thermal Unit (International Definition),http://qudt.org/vocab/quantitykind/ThermalEnergy,Thermal Energy
http://qudt.org/vocab/unit/BTU_IT-FT,BTU Foot,http://qudt.org/vocab/quantitykind/ThermalEnergyLength,Thermal Energy Length
http://qudt.org/vocab/unit/BTU_IT-FT-PER-FT2-HR-DEG_F,BTU (IT) Foot per Square Foot Hour Degree Fahrenheit,http://qudt.org/vocab/quantitykind/ThermalConductivity,Thermal Conductivity
http://qudt.org/vocab/unit/BTU_IT-IN,BTU Inch,http://qudt.org/vocab/quantitykind/ThermalEnergyLength,Thermal Energy Length
http://qudt.org/vocab/unit/BTU_IT-IN-PER-FT2-HR-DEG_F,British Thermal Unit (international Table) Inch Per Hour Square Foot Degree Fahrenheit,http://qudt.org/vocab/quantitykind/ThermalConductivity,Thermal Conductivity
http://qudt.org/vocab/unit/BTU_IT-IN-PER-HR-FT2-DEG_F,British Thermal Unit (international Table) Inch Per Hour Square Foot degree Fahrenheit,http://qudt.org/vocab/quantitykind/ThermalConductivity,Thermal Conductivity
http://qudt.org/vocab/unit/BTU_IT-IN-PER-FT2-SEC-DEG_F,BTU (IT) Inch per Square Foot Second Degree Fahrenheit,http://qudt.org/vocab/quantitykind/ThermalConductivity,Thermal Conductivity
http://qudt.org/vocab/unit/BTU_IT-IN-PER-SEC-FT2-DEG_F,British Thermal Unit (international Table) Inch Per Second Square Foot degree Fahrenheit,http://qudt.org/vocab/quantitykind/ThermalConductivity,Thermal Conductivity
http://qudt.org/vocab/unit/BTU_IT-PER-DEG_F,BTU (IT) per Degree Fahrenheit,http://qudt.org/vocab/quantitykind/HeatCapacity,Heat Capacity
http://qudt.org/vocab/unit/BTU_IT-PER-DEG_R,BTU per Degree Rankine,http://qudt.org/vocab/quantitykind/HeatCapacity,Heat Capacity
http://qudt.org/vocab/unit/BTU_IT-PER-FT2,BTU per Square Foot,http://qudt.org/vocab/quantitykind/EnergyPerArea,Energy per Area
http://qudt.org/vocab/unit/BTU_IT-PER-FT2-HR-DEG_F,BTU per Square Foot Hour Degree Fahrenheit,http://qudt.org/vocab/quantitykind/CoefficientOfHeatTransfer,Coefficient of heat transfer
http://qudt.org/vocab/unit/BTU_IT-PER-FT2-SEC-DEG_F,BTU per Square Foot Second Degree Fahrenheit,http://qudt.org/vocab/quantitykind/CoefficientOfHeatTransfer,Coefficient of heat transfer
http://qudt.org/vocab/unit/BTU_IT-PER-FT3,British Thermal Unit (IT) Per Cubic Foot,http://qudt.org/vocab/quantitykind/EnergyDensity,Energy Density
http://qudt.org/vocab/unit/BTU_IT-PER-HR,BTU per Hour,http://qudt.org/vocab/quantitykind/Power,Power
http://qudt.org/vocab/unit/BTU_IT-PER-HR,BTU per Hour,http://qudt.org/vocab/quantitykind/HeatFlowRate,Heat Flow Rate
http://qudt.org/vocab/unit/BTU_IT-PER-HR-FT2,BTU per Hour Square Foot,http://qudt.org/vocab/quantitykind/PowerPerArea,Power Per Area
http://qudt.org/vocab/unit/BTU_IT-PER-HR-FT2-DEG_R,British Thermal Unit (international Table) Per Hour Square Foot degree Rankine,http://qudt.org/vocab/quantitykind/CoefficientOfHeatTransfer,Coefficient of heat transfer
http://qudt.org/vocab/unit/BTU_IT-PER-LB,BTU-IT-PER-lb,http://qudt.org/vocab/quantitykind/SpecificEnergy,Specific Energy
http://qudt.org/vocab/unit/BTU_IT-PER-LB-DEG_F,BTU per Pound Degree Fahrenheit,http://qudt.org/vocab/quantitykind/SpecificHeatCapacity,Specific Heat Capacity
http://qudt.org/vocab/unit/BTU_IT-PER-LB-DEG_R,BTU per Pound Degree Rankine,http://qudt.org/vocab/quantitykind/SpecificHeatCapacity,Specific Heat Capacity
http://qudt.org/vocab/unit/BTU_IT-PER-LB-MOL,BTU per Pound Mole,http://qudt.org/vocab/quantitykind/EnergyPerMassAmountOfSubstance,Energy and work per mass amount of substance
http://qudt.org/vocab/unit/BTU_IT-PER-LB_F,British Thermal Unit (international Table) Per Pound of Force,http://qudt.org/vocab/quantitykind/Length,Length
http://qudt.org/vocab/unit/BTU_IT-PER-LB_F-DEG_F,British Thermal Unit (international Table) Per Pound Degree Fahrenheit,http://qudt.org/vocab/quantitykind/SpecificHeatCapacity,Specific Heat Capacity
http://qudt.org/vocab/unit/BTU_IT-PER-LB_F-DEG_R,British Thermal Unit (international Table) Per Pound Degree Rankine,http://qudt.org/vocab/quantitykind/SpecificHeatCapacity,Specific Heat Capacity
http://qudt.org/vocab/unit/BTU_IT-PER-MIN,British Thermal Unit (international Table) Per Minute,http://qudt.org/vocab/quantitykind/HeatFlowRate,Heat Flow Rate
